"year","total","trans","engine","ptrain"
1957,1,0,0,0
1960,2,0,0,0
1963,3,0,0,0
1964,2,1,0,0
1965,8,2,2,4
1966,7,1,0,0
1967,3,0,0,0
1968,6,0,0,0
1969,4,0,0,0
1970,4,0,0,0
1971,6,0,1,0
1972,11,0,0,0
1973,12,1,0,0
1974,11,1,1,0
1975,7,0,0,0
1976,11,0,1,0
1977,21,2,3,2
1978,21,3,2,4
1979,28,5,4,8
1980,17,6,1,2
1981,29,5,6,10
1982,23,2,3,0
1983,54,8,8,10
1984,97,12,10,12
1985,118,18,8,10
1986,157,21,13,8
1987,193,36,29,28
1988,278,42,33,18
1989,396,63,47,24
1990,584,91,69,60
1991,809,126,92,82
1992,1256,183,123,90
1993,1873,270,189,136
1994,3043,410,330,204
1995,4768,645,505,300
1996,6222,806,620,344
1997,10366,1153,968,464
1998,14437,1555,1242,538
1999,21483,2247,1845,744
2000,30845,3045,2551,932
2001,38135,3548,2849,1014
2002,46658,4152,3303,1066
2003,50370,3858,3266,962
2004,51599,3429,3253,810
2005,50105,3316,3032,756
2006,46751,2671,2423,476
2007,38122,1846,1809,306
2008,25433,959,1052,130
2009,10333,269,372,38
2010,7808,130,241,20
2011,4995,43,113,6
2012,2757,18,48,0
2013,924,12,12,0
2014,75,0,0,0
