"miles","count"
0,3206
10000,2029
20000,3515
30000,5655
40000,8497
50000,12173
60000,17147
70000,22358
80000,28338
90000,34763
1e+05,38844
110000,38509
120000,38566
130000,37740
140000,34168
150000,29960
160000,25607
170000,20720
180000,16983
190000,13291
2e+05,10381
210000,7796
220000,5663
230000,4209
240000,3056
250000,2254
260000,1587
270000,1159
280000,840
290000,576
3e+05,436
310000,283
320000,229
330000,151
340000,107
350000,73
360000,64
370000,47
380000,30
390000,26
4e+05,17
410000,15
420000,11
430000,15
440000,10
450000,5
460000,5
470000,3
480000,5
490000,1
5e+05,1
510000,2
520000,2
540000,2
590000,1
630000,1
650000,2
690000,11
710000,1
720000,1
740000,1
760000,3
770000,1
780000,1
790000,1
830000,1
870000,1
890000,1
9e+05,1
910000,1
920000,1
930000,1
950000,1
990000,2
